Title,genres,rating,topcast,details
The Search for Robert Johnson (1992) ,Documentary Biography Music ,7.6,"Chris Hunt, Keith Richards, Eric Clapton"," Country: UK  Language: English  Filming Locations: Austin, Mississippi, USA           Production Co:  Iambic Productions                    Runtime: 72 min  Color: Color "
Kari Väänänen - kotona taas (2010) ,Documentary Biography ,not rated,"Kirsi Markkanen, Kirsi Markkanen, Kari Väänänen"," Country: Finland  Language: Finnish  Release Date: 30 December 2010 (Finland)             Filming Locations: Helsinki, Finland           Production Co:  Yleisradio (YLE)                    Runtime: 47 min  Color: Color "
"Cheating Death, Stealing Life: The Eddie Guerrero Story (2004) ",Documentary Biography Sport ,7.9,"Eddie Guerrero, Kurt Angle, Art Barr"," Country: USA  Language: English  Release Date: 26 May 2004 (USA)             Filming Locations: Denver, Colorado, USA           Production Co:  World Wrestling Entertainment (WWE)                    Runtime: 360 min  Sound Mix: Dolby Digital  Color: Color "
"Enemy, My Friend? (1995) ",Documentary Biography History ,not rated,"Eric Lomax, Patti Lomax, Takashi Nagase", Country: UK  Language: English  Release Date: 1995 (UK)                      Color: Color 
Marlon Brando: The Wild One (1994) ,Documentary Biography ,7.6,"Paul Joyce, Paul Joyce, Kevin McCarthy"," Country: UK , USA  Language: English  Release Date: 11 August 1994 (UK)             Production Co:  Channel 4 Television Corporation, Lucida Films                    Runtime: 54 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Servant or Slave (2016) ,Documentary Biography History ,6.8,"Steven McGregor, Mitchell Stanley, Hetti Perkins"," Official Sites: Umbrella Entertainment - VOD [Australia]    Country: Australia  Language: English  Release Date: 1 August 2016 (Australia)             Filming Locations: Cootamundra, NSW, Australia           Budget:AUD640,000             (estimated)  Production Co:  No Coincidence Media                    Runtime: 58 min  Sound Mix: Stereo  Color: Color "
Les guerres de Coco Chanel (2019) ,Documentary Biography ,6.9,"Jean Lauritano, Jean Lauritano, Coco Chanel"," Country: France  Language: French  Release Date: 16 March 2019 (Spain)             Also Known As: Coco Chanel, die Revolution der Eleganz                 Production Co:  Slow Production                    Runtime: 56 min  Color: Color  Aspect Ratio: 16 : 9     "
Ted Hughes: Stronger Than Death (2015) ,Documentary Biography ,6.9,"Richard Curson Smith, Frieda Hughes, Ted Hughes"," Country: UK  Language: English  Release Date: 14 October 2015 (UK)             Also Known As: Ted Hughes, en odödlig poet                 Production Co:  British Broadcasting Corporation (BBC)                    Color: Color "
Joe Louis: America's Hero... Betrayed (2008) ,Documentary Biography Sport ,7.5,"Ouisie Shapiro, Joe Louis, Joe Louis Barrow Jr."," Official Sites: HBO [United States]    Country: USA  Language: English  Release Date: 23 February 2008 (USA)             Production Co:  HBO Sports                    Sound Mix: Stereo  Color: Color ,  Black and White  Aspect Ratio: 1.78 : 1     "
Unbroken: The Snowboard Life of Mark McMorris (2018) ,Documentary Biography Sport ,6.5,"Adam Burwell, Michael Grand, Mark McMorris", Country: Canada  Language: English  Release Date: February 2018 (Canada)                      Runtime: 45 min  Color: Color 
Running Wild: Australia's Camels (2016) ,Documentary Adventure Biography ,not rated,"Ben Hawke, Robyn Davidson, Tahmina Ansari"," Official Sites: ABC Shop , Australian Broadcasting Corporation (ABC) [Australia]    Country: Australia  Language: English  Release Date: 12 December 2016 (Australia)             Also Known As: Australia's Camels                 Filming Locations: South Australia, Australia           Production Co:  ABC-TV Productions, Australian Broadcasting Corporation (ABC)                    Runtime: 58 min  Color: Color ,  Black and White , Color (archive footage) (archival footage),  Black and White (archive footage) (archival footage)    "
Stuart Sutcliffe: The Lost Beatle (2005) ,Documentary Biography Music ,8.4,"Steve Cole, Horst Fascher, George Harrison"," Country: UK  Language: English  Release Date: 12 December 2005 (UK)             Also Known As: Stuart Sutcliffe: O pemptos Beatle                 Filming Locations: Liverpool, Merseyside, England, UK           Production Co:  Iambic Productions, British Broadcasting Corporation (BBC)                    Runtime: 60 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.78 : 1     "
Rita (2003) ,Documentary Biography ,7.4,"Elaina Archer, Caren Roberts-Frenzel, Elaina Archer"," Official Sites: Turner Classic Movies    Country: USA  Language: English  Release Date: 9 September 2003 (USA)                      Color:  Black and White , Color "
The First Angry Man (2019) ,Documentary Biography History ,5.2,"Jason Cohn, Bill Boyarsky, Jerry Brown", Official Sites: Official site    Country: USA  Language: English  Release Date: 7 November 2019 (USA)                      Runtime: 54 min  Color: Color 
Born Without Limbs (2015) ,Documentary Biography ,6.6,"Riaz Patel, Kanae Miyahara, Nick Vujicic"," Official Sites: Official Facebook    Country: USA  Language: English  Release Date: 17 June 2015 (USA)             Budget:$350,000             (estimated)  Production Co:  Entertainment One                    Color: Color "
Budd Boetticher: A Man Can Do That (2005) ,Documentary Biography ,7.2,"Bruce Ricker, Dave Kehr, Ed Harris"," Country: USA  Language: English  Release Date: 2 December 2005 (USA)             Budget:$600,000             (estimated)  Production Co:  Rhapsody Films                    Color: Color ,  Black and White "
The Genius of Marie Curie: The Woman Who Lit Up the World (2013) ,Documentary Biography ,7.6,"Gideon Bradshaw, David Malone, Maria Sklodowska-Curie"," Official Sites: Official movie site at BBC    Country: UK  Language: English  Release Date: 3 May 2013 (UK)             Also Known As: Marie Curie                 Production Co:  BBC Productions                    Runtime: 60 min , 52 min             (TV)             (2015)      Color: Color "
Steve Irwin: He Changed Our World (2006) ,Documentary Biography ,9.0,"Bruce Wuth, Russell Crowe, John Howard", Country: Australia  Language: English  Release Date: 20 September 2006 (Australia)                      Color: Color 
School of Rickey (2016) ,Documentary Biography Sport ,7.6,"Jonathon Laureano, Aaron Cohen, Rickey Henderson"," Official Sites: Trailer    Country: USA  Language: English  Release Date: 13 August 2016 (USA)             Production Co:  Major League Baseball, MLB Network                    Runtime: 60 min  Color: Color "
Dylan (1978) ,Documentary Biography Drama ,7.8,"Richard Lewis, Paul Ferris, Ronald Lacey", Country: UK  Language: English  Release Date: 9 November 1978 (UK)             Production Co:  BBC Cymru Wales                    Runtime: 120 min  Sound Mix: Mono  Color: Color  Aspect Ratio: 1.33 : 1     
The Margot Fonteyn Story (1989) ,Documentary Biography Music ,8.3,"Patricia Foy, Margot Fonteyn, Robert Helpmann"," Country: UK  Language: English  Release Date: 1989 (UK)             Also Known As: Great Performances: The Margot Fonteyn Story                 Production Co:  RM Associates                    Sound Mix: Stereo  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Graham Hill: Driven (2008) ,Documentary Biography Sport ,8.8,"Mark Craig, Timothy Block, John Coombs", Country: UK  Language: English  Release Date: 26 May 2008 (UK)             Production Co:  Mark Stewart Productions                    Color: Color  Aspect Ratio: 1.78 : 1     
Hitchcock: Shadow of a Genius (1999) ,Documentary Biography ,7.9,"Ted Haimes, Ted Haimes, Kevin Spacey"," Country: USA  Language: English  Release Date: 13 October 1999 (USA)             Also Known As: Dial H Hitchcock: The Genius Behind the Showman                 Production Co:  Rocket Science Laboratories                    Runtime: 101 min  Sound Mix: Stereo  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Sinatra Sings (2011) ,Documentary Biography Music ,8.3,-, Country: USA  Language: English  Release Date: 19 November 2011 (USA)             Also Known As: Frank Sinatran parhaat laulut                 Production Co:  American Public Television                    Runtime: 58 min  Color: Color  Aspect Ratio: 4:3     
Our Colonial Hangover (2014) ,Documentary Biography Family ,5.7,"Sunny Bergman, Sunny Bergman, Sunny Bergman"," Official Sites: Official site    Country: Netherlands , Germany , UK  Language: Dutch , English  Release Date: November 2014 (Netherlands)             Also Known As: Zwart als roet                 Filming Locations: England           Production Co:  De Familie                    Runtime: 56 min  Color: Color "
Stephen King Master of Horror (2018) ,Documentary Biography ,not rated,"Elliot Kew, Nancy Allen, George Beahm", Country: UK  Language: English  Release Date: 3 October 2018 (UK)             Production Co:  Elephant House Studios                    Runtime: 52 min  Color: Color 
The Duke: A Portrait of Prince Philip (2008) ,Documentary Biography ,not rated,"Sebastian Duthy, Robert Hardman, Prince Philip"," Country: UK  Language: English  Release Date: 12 May 2008 (UK)             Budget:GBP100,000             (estimated)  Production Co:  Indigo Television, Back2Back Productions                    Runtime: 120 min  Color: Color "
James Cagney: That Yankee Doodle Dandy (1981) ,Documentary Biography ,7.2,"Richard Schickel, Richard Schickel, James Cagney", Country: USA  Language: English  Release Date: 1 December 1981 (USA)                      Runtime: 71 min  Color: Color 
Cecil B. DeMille: American Epic (2004) ,Documentary Biography ,7.1,"Kevin Brownlow, Kenneth Branagh, Steven Spielberg"," Country: USA  Language: English  Release Date: 5 April 2004 (USA)             Production Co:  Photoplay Productions                    Runtime: 150 min  Sound Mix: Stereo  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
"Anton Ferdinand: Football, Racism and Me (2020) ",Documentary Biography ,7.8,"James Ross, Khalil Madovi, Dee Albert", Official Sites: BBC programme info    Country: UK  Language: English  Release Date: 30 November 2020 (UK)                      Runtime: 59 min  Color: Color 
Julius Caesar Revealed (2018) ,Documentary Biography History ,6.1,"Russell England, Alexander Leith, Mary Beard"," Official Sites: British Broadcasting Corporation [United Kingdom]    Country: UK  Language: English  Release Date: 12 February 2018 (UK)             Also Known As: Sezar'i Anlamak                 Production Co:  Lion Television, British Broadcasting Corporation (BBC)                    Runtime: 60 min  Sound Mix: Stereo  Color: Color "
Princess Diana: The Secret Tapes (2004) ,Documentary Biography ,7.8,-, Country: USA  Release Date: 4 March 2004 (USA)             Production Co:  NBC Studios                    Runtime: 120 min             (2 parts)     
Kurosawa: The Last Emperor (1999) ,Documentary Biography ,6.9,"Alex Cox, Bernardo Bertolucci, Francis Ford Coppola"," Official Sites: Alex Cox    Country: UK  Language: English  Production Co:  Channel Four Films, Exterminating Angel Production                    Runtime: 50 min  Sound Mix: Stereo  Color: Color "
John Ford (1993) ,Documentary Biography ,6.8,"Andrew Eaton, Lindsay Anderson, Lindsay Anderson"," Country: UK , USA  Language: English  Release Date: 25 October 1993 (Spain)             Production Co:  A+E Networks, British Broadcasting Corporation (BBC)                    Color:  Black and White , Color "
Golden Anniversary (1995) ,Documentary Biography Music ,5.9,"Richie Namm, Nick Clooney, Rosemary Clooney"," Country: USA  Language: English  Release Date: 11 November 1995 (USA)             Also Known As: Rosemary Clooney's Demi-Centennial                 Production Co:  A+E Networks, Demicentennial Productions Inc., Lang Entertainment Group Inc.                    Runtime: 90 min  Color: Color "
Leni Riefenstahl - Das Ende eines Mythos (2020) ,Documentary Biography History ,6.1,"Michael Kloft, Michael Kloft, Christine Hegeler"," Official Sites: Arte [Germany] , Arte [France] ,           Country: Germany  Language: German  Release Date: 22 October 2020 (Germany)             Also Known As: Leni Riefenstahl - La fin d'un mythe                 Production Co:  Spiegel TV, Zweites Deutsches Fernsehen (ZDF), ARTE                    Runtime: 52 min  Sound Mix: Stereo  Color: Color ,  Black and White (archive footage)     Aspect Ratio: 16:9 HD     "
W.C. Fields: Straight Up (1986) ,Documentary Biography ,8.2,"Joe Adamson, Joe Adamson, Ronald J. Fields"," Country: USA  Language: English  Production Co:  Whyaduck Productions, W.C. Fields Productions                    Runtime: 94 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Ken Burns: America's Storyteller (2017) ,Documentary Biography ,7.3,"Bob Marty, James Arntz, James Arntz"," Official Sites: Official site , Official site    Country: USA  Language: English  Release Date: 6 March 2017 (USA)             Production Co:  Inky Dinky Worldwide                    Runtime: 90 min , 118 min             (with pledge breaks)      Color: Color ,  Black and White (still photographs and archival footage)     Aspect Ratio: 16:9 HD     "
Vladimir Horowitz: The Last Romantic (1985) ,Documentary Biography Music ,8.9,"Albert Maysles, David Maysles, Vladimir Horowitz"," Country: USA  Language: English  Release Date: 15 November 1985 (USA)             Also Known As: Horowitz - Der letzte Romantiker                 Filming Locations: New York City, New York, USA  Production Co:  Cami Video                    Runtime: 88 min  Sound Mix: Stereo  Color: Color "
Pauline Hanson: Please Explain! (2016) ,Documentary Biography ,8.0,"Anna Broinowski, Anna Broinowski, Michael Cordell"," Official Sites: Official site    Country: Australia  Language: English  Release Date: 31 July 2016 (Australia)             Filming Locations: Parliament House, Canberra, Australian Capital Territory, Australia                    Runtime: 77 min  Sound Mix: Stereo  Color: Color "
"Jean-Jacques Rousseau, tout dire (2012) ",Documentary Biography ,6.6,"Katharina Von Flotow, Katharina Von Flotow, Roger Jendly"," Country: Switzerland , France  Language: French  Release Date: 23 June 2012 (France)             Also Known As: Jean-Jacques Rousseau - Nichts zu verbergen                 Production Co:  ARTE, P.S. Productions, Radio Télévision Suisse (RTS)                    Runtime: 87 min  Color: Color "
Pell (2016) ,Documentary Biography History ,not rated,"Steven Feinberg, Steven Feinberg, Elyse Katz", Official Sites: Official site    Country: USA  Language: English  Release Date: January 2016 (USA)                      Runtime: 52 min  Color: Color 
Roy Orbison: One of the Lonely Ones (2015) ,Documentary Biography Music ,7.3,"Jeremy Marre, Roy Orbison, Clarke Peters", Country: UK  Language: English  Release Date: 29 December 2015 (UK)             Production Co:  BBC Music                    Runtime: 59 min  Color: Color 
The Secret Life of Adolf Hitler (1958) ,Documentary Biography History ,6.6,"Walter D. Engels, Eldorous Dayton, Westbrook Van Voorhis"," Country: USA  Language: English , German  Release Date: 1958 (USA)             Also Known As: A Vida Secreta de Adolf Hitler                          Sound Mix: Mono  Color:  Black and White  Aspect Ratio: 1.33 : 1     "
Bing Crosby: His Life and Legend (1978) ,Documentary Biography ,7.0,"Marshall Flaum, Marshall Flaum, William Holden"," Country: USA  Language: English  Release Date: 25 May 1978 (USA)             Production Co:  Konigsberg Company                    Runtime: 120 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Elizabeth Taylor (1996) ,Documentary Biography ,6.6,-," Country: USA  Language: English  Release Date: 1996 (USA)             Production Co:  Public Broadcasting Service (PBS)                    Runtime: 43 min  Color:  Black and White , Color "
Titian - Behind Closed Doors (2020) ,Documentary Biography History ,7.2,"Matthew Hill, Vanessa Abreu, Bernard Aikema", Official Sites: BBC    Country: UK  Language: English  Release Date: 4 April 2020 (UK)             Production Co:  Matchlight                    Runtime: 57 min  Color: Color 
Queen Elizabeth II: In Her own Words (2020) ,Documentary Biography ,not rated,"Stuart Strickson, Roya Nikkhah, Hugo Vickers", Official Sites: Channel 5    Country: UK  Language: English  Release Date: 18 July 2020 (UK)             Production Co:  Viacom International Studios                    Runtime: 90 min  Color: Color 
Allen Iverson: The Answer (2016) ,Documentary Biography Sport ,7.8,"Larry Brown, Allen Iverson, Steve Smith", Official Sites: Official Site    Country: USA  Language: English  Release Date: 6 June 2016 (USA)             Production Co:  NBA Entertainment                    Color: Color 
Toulouse-Lautrec: The Full Story (2006) ,Documentary Biography ,7.2,-, Official Sites: Channel 4 [UK]    Country: UK  Language: English  Release Date: 16 December 2006 (UK)             Also Known As: Toulouse-Lautrec                 Production Co:  ZCZ Films                    Runtime: 120 min  Color: Color 
Tiger Woods: the Rise and Fall (2010) ,Documentary Biography Sport ,6.0,"Jacques Peretti, Steve Helling, Jacques Peretti", Country: UK  Language: English  Release Date: 17 June 2010 (UK)                      Runtime: 85 min  Color: Color 
The Armstrong Tapes (2019) ,Documentary Biography History ,7.0,"Liz Reph, Liz Reph, Carol Armstrong", Official Sites: Official site    Country: USA  Language: English  Release Date: 8 July 2019 (USA)             Also Known As: Armstrong Kayitlari                 Production Co:  Steve Rotfeld Productions                    Runtime: 60 min  Color: Color 
Quiet Masters: The History and Relevance of the Black Magical Artist (2016) ,Documentary Biography History ,not rated,-, Official Sites: Official site    Country: USA  Language: English           Runtime: 96 min  Color: Color 
Lasse Virén - jälkikaikuja (2017) ,Documentary Biography Sport ,6.8,"Petra Manner, Jani Mattsson, Petra Manner"," Country: Finland  Language: Finnish  Release Date: 30 November 2017 (Finland)             Also Known As: Lasse Virén - reflektioner                 Filming Locations: München, Germany                    Runtime: 64 min  Color: Color "
"Robert Mitchum, le mauvais garçon d'Hollywood (2017) ",Documentary Biography ,6.5,"Stéphane Benhamou, Stéphane Benhamou, Howard Hughes"," Country: France  Language: French  Release Date: 22 April 2018 (France)             Also Known As: Hårdingen Robert Mitchum                 Production Co:  ARTE, Lobster Films, Paris, Siècle Productions                    Runtime: 52 min  Color: Color  Aspect Ratio: 16 : 9     "
The Pink Floyd Story: Which One's Pink? (2007) ,Documentary Biography Music ,7.6,"Chris Rodley, Syd Barrett, Joe Boyd", Official Sites: Official site    Country: UK  Language: English  Release Date: 12 December 2007 (UK)             Production Co:  British Broadcasting Corporation (BBC)                    Runtime: 60 min  Color: Color 
Baryshnikov: The Dancer and the Dance (1983) ,Documentary Biography ,8.5,"Tony Cash, Mikhail Baryshnikov, Shirley MacLaine"," Country: UK , USA  Language: English  Release Date: 1983 (USA)             Filming Locations: Brooklyn Academy of Music - 30 Lafayette Avenue, Brooklyn, New York City, New York, USA  Production Co:  London Weekend Television (LWT)                    Runtime: 82 min  Color: Color  Aspect Ratio: 1.33 : 1     "
Kike Like Me (2007) ,Documentary Biography History ,5.0,"Jamie Kastner, Jamie Kastner, Jamie Kastner", Country: Canada  Language: English  Release Date: June 2007 (UK)             Also Known As: Jew Like Me                 Production Co:  TVO                    Runtime: 60 min  Color: Color 
The Face of Evil: Reinhard Heydrich (2002) ,Documentary Biography ,5.7,"Robert Beemer, Michael Kase, Robert Beemer", Country: USA  Language: English  Release Date: 10 October 2002 (USA)             Production Co:  IM3 Entertainment                    Color: Color 
"Melville, le dernier samouraï (2020) ",Documentary Biography ,7.5,"Cyril Leuthy, Cyril Leuthy, Jean-Paul Belmondo", Country: France  Language: French  Release Date: 22 March 2020 (France)             Also Known As: Der Virtuose des Gangsterfilms - Jean-Pierre Melville                 Production Co:  Roche Productions                    Runtime: 54 min  Color: Color  Aspect Ratio: 16 : 9     
Rupa u dusi (1994) ,Documentary Biography Comedy ,6.8,"Dusan Makavejev, Rambo Amadeus, Melodie Annis"," Country: UK  Language: Serbo-Croatian , English  Release Date: 22 July 2012 (Poland)             Also Known As: Hole in the Soul                 Filming Locations: Belgrade, Serbia           Production Co:  Triangle British Films, BBC Scotland                    Runtime: 52 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.33 : 1     "
Sam Peckinpah: Man of Iron (1993) ,Documentary Biography ,7.4,"Paul Joyce, Sam Peckinpah, Alan Sharp"," Country: USA , UK  Language: English  Release Date: 29 June 1993 (USA)             Also Known As: Sam Peckinpah - Ein harter Knochen                 Production Co:  A+E Networks, British Broadcasting Corporation (BBC), Lucida Films                    Runtime: 95 min , 644 min             (director's cut)      Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Biography: JFK Jr. The Final Year (2019) ,Documentary Biography ,8.0,"John Marks, John F. Kennedy, Bill Clinton"," Country: USA  Language: English  Release Date: 16 July 2019 (USA)             Production Co:  A Red Arrow Studios Company, A+E Networks, Left/Right                    Runtime: 86 min  Color: Color "
Michael Jackson Unmasked (2009) ,Documentary Biography ,6.5,"Sonia Anderson, Sonia Anderson, Andres Williams"," Official Sites: Official site    Country: UK  Language: English  Release Date: 13 July 2009 (UK)             Also Known As: The Michael Jackson Story - Unmasked                 Filming Locations: London, England, UK  Budget:GBP150,000             (estimated)  Production Co:  Entertain ME                    Runtime: 46 min  Sound Mix: Dolby SR (RCA Sound Recording)     Color: Color (Technicolor)     Aspect Ratio: 1.78 : 1 / (high definition)     "
Die Ahnen der Queen - Sachsen-Coburgs Hochzeit mit der Macht (2013) ,Documentary Biography History ,7.7,"Hannes Schuler, Christiane Böhm, Hannes Schuler", Country: Germany  Language: German  Release Date: 1 June 2013 (France)             Also Known As: Keeping It in the Royal Family                 Production Co:  Neue Artfilm                    Runtime: 75 min  Color: Color 
Britney Spears: Workin' It (2014) ,Documentary Biography ,5.2,"NJ Silva, NJ Silva, Julia Montgomery Brown"," Official Sites: Official Documentary Page    Country: UK  Language: English  Budget:GBP7,000             (estimated)  Production Co:  Entertain ME                    Runtime: 60 min  Color: Color (HD)    "
JFK & LBJ: A Time for Greatness (2015) ,Documentary Biography History ,7.4,"Alastair Layzell, Dené Hill, Joe Ables", Official Sites: Official site    Country: USA  Language: English  Release Date: 4 August 2015 (USA)                      Runtime: 56 min  Color: Color 
In Bad Taste (2000) ,Documentary Biography ,7.5,"Steve Yeager, Kevin Heffernan, Steve Yeager", Country: USA  Language: English  Release Date: 20 October 2000 (USA)                      Runtime: 100 min  Color: Color 
"Thank You, Mr. President: Helen Thomas at the White House (2008) ",Documentary Biography ,6.8,"Rory Kennedy, Mark Bailey, George Bush", Country: USA  Language: English  Release Date: 18 August 2008 (USA)             Also Known As: Thank You Mr. President                 Production Co:  Moxie Firecracker Films                    Runtime: 47 min  Color: Color 
Rik Mayall: Lord of Misrule (2014) ,Documentary Biography ,7.6,"Andy Humphries, Simon Callow, Rik Mayall", Official Sites: Official site    Country: UK  Language: English  Release Date: 20 December 2014 (UK)             Production Co:  British Broadcasting Corporation (BBC)                    Runtime: 60 min  Color: Color  Aspect Ratio: 16 : 9     
Ben Franklin (2004) ,Documentary Biography History ,7.9,"Joshua Alper, Joshua Alper, Raymond Bridgers", Country: USA  Language: English  Release Date: 5 December 2004 (USA)             Production Co:  Cosgrove/Meurer Productions                    Runtime: 100 min  Color: Color 
Life on Air (2002) ,Documentary Biography ,8.4,"Michael Palin, David Attenborough, Richard Attenborough", Country: UK  Language: English  Release Date: 20 November 2002 (UK)             Also Known As: David Attenborough: Life on Air                 Production Co:  BBC Bristol                    Runtime: 59 min  Color: Color 
Ein blinder Held - Die Liebe des Otto Weidt (2014) ,Documentary Biography Drama ,7.5,"Kai Christiansen, Heike Brückner von Grumbkow, Jochen von Grumbkow"," Official Sites: Official site , Official site    Country: Germany  Language: German  Release Date: 6 January 2014 (Germany)             Also Known As: A Blind Hero: The Love of Otto Weidt                 Production Co:  Vincent TV                    Runtime: 90 min  Color: Color "
The Rocker: Thin Lizzy's Phil Lynott (1996) ,Documentary Biography Music ,7.5,"Shay Healy, Eric Bell, Jon Bon Jovi"," Country: Ireland , UK  Language: English  Release Date: 16 April 2007 (UK)             Production Co:  Safinia Productions                    Runtime: 60 min  Sound Mix: Dolby  Color: Color "
Le fantastique Mr Murray (2019) ,Documentary Biography ,6.3,"Stéphane Benhamou, Stéphane Benhamou, Dan Aykroyd", Country: France  Language: French  Release Date: 20 October 2019 (France)             Also Known As: Der fantastische Mr. Murray                 Production Co:  Siècle Productions                    Runtime: 53 min  Color: Color  Aspect Ratio: 16 : 9     
Inside the White House (1995) ,Documentary Biography History ,6.7,"John B. Bredar, John B. Bredar, Morgan Freeman"," Country: USA  Language: English  Filming Locations: Washington, District of Columbia, USA           Production Co:  National Geographic, WETA                    Runtime: 90 min  Color: Color ,  Black and White (black & white archive footage)    "
The Men Who Made the Movies: Howard Hawks (1973) ,Documentary Biography ,6.9,"Richard Schickel, Richard Schickel, Sydney Pollack"," Country: USA  Language: English  Release Date: 1973 (USA)             Also Known As: Megaloi dimiourgoi tis 7is Tehnis: Howard Hawks                 Production Co:  Lorac Productions, Turner Classic Movies (TCM)                    Runtime: 57 min  Sound Mix: Mono  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Dino De Laurentiis: The Last Movie Mogul (2001) ,Documentary Biography ,7.1,"Adrian Sibley, Dino De Laurentiis, Martha De Laurentiis"," Country: UK  Language: English , Italian  Release Date: April 2001 (UK)             Also Known As: De Laurentiis - viimeinen filmimoguli                 Production Co:  British Broadcasting Corporation (BBC)                    Sound Mix: Stereo  Color: Color "
Einstein Revealed (1996) ,Documentary Biography ,7.8,"Peter Jones, Thomas Levenson, Andrew Sachs"," Country: UK  Language: English  Release Date: 1 October 1996 (USA)             Production Co:  British Broadcasting Corporation (BBC), Green Umbrella Ltd., Nova Productions                    Color:  Black and White , Color "
Мария Шарапова. Главное (2017) ,Documentary Biography ,5.9,"Lisa Lax, Nancy Stern Winters, Maria Sharapova"," Official Sites: blu-ray.com , iTunes    Country: USA  Language: English , Russian  Release Date: 20 June 2017 (USA)             Also Known As: Мария Шарапова. Главное                 Production Co:  IMG Films, Lookalike Productions                    Runtime: 55 min  Color: Color "
Daughters of the New Republic: Sarah Bradford and Harriet Tubman (2016) ,Documentary Biography History ,not rated,"Linda Robertson, J.G. Hertzler, Thelma Pinto", Country: USA  Language: English           Runtime: 73 min  Color: Color 
"Audrey Hepburn, le choix de l'élégance (2017) ",Documentary Biography ,7.6,"Emmanuelle Franc, Cecil Beaton, George Cukor"," Country: France  Language: French , English  Release Date: 2017 (France)             Also Known As: Audrey Hepburn, Königin der Eleganz                 Production Co:  Arte France - Unité Documentaires, Zadig Productions                    Runtime: 54 min  Color: Color  Aspect Ratio: 16 : 9     "
Bobby Moore (2006) ,Documentary Biography ,8.4,"Harvey Lilley, Ty Glaser, Joseph Kennedy"," Country: UK  Language: English  Release Date: 6 May 2006 (UK)             Filming Locations: Bristol, England, UK           Color: Color "
A Pleasant Terror: The Life and Ghost of M.R. James (1995) ,Documentary Biography ,6.6,"Clive Dunn, Michael Cox, Clive Dunn", Country: UK  Language: English  Release Date: 22 December 1995 (UK)             Production Co:  Seventh House Films                    Runtime: 60 min  Color: Color 
Sam Kinison: Why Did We Laugh? (1999) ,Documentary Biography ,6.9,"Larry Carroll, Larry Carroll, Sam Kinison"," Country: USA  Language: English  Release Date: April 1999 (USA)             Production Co:  Pacific Sundog Productions                    Runtime: 90 min  Sound Mix: Stereo  Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
Young Dr. Freud (2002) ,Documentary Biography ,7.1,"David Grubin, David Grubin, Blair Brown"," Official Sites: PBS [United States]    Country: USA  Language: English  Release Date: 27 November 2002 (USA)             Filming Locations: London, England, UK           Production Co:  David Grubin Productions, DeVillier Donegan Enterprizes, Public Broadcasting Service (PBS)                    Color: Color  Aspect Ratio: 1.78 : 1     "
Henry Fonda: The Man and His Movies (1982) ,Documentary Biography ,8.8,"Thomas Royal, Henry Fonda, Arthur Hill"," Country: USA  Language: English  Release Date: 1982 (USA)             Production Co:  RKO/Nederlander Productions                    Color:  Black and White , Color  Aspect Ratio: 1.33 : 1     "
The Animated Story of Jenny Lind - A Swedish Nightingale (2020) ,Documentary Animation Biography ,not rated,"Ditte Feuk, Ditte Feuk, Malin Byström"," Country: Sweden  Language: English , French , Italian , Swedish , German  Release Date: 11 October 2020 (Sweden)             Also Known As: Jenny Lind - den animerade berättelsen                 Production Co:  SVT Sweden                    Runtime: 58 min  Color: Color "
7Up 2000 (2000) ,Documentary Biography ,8.6,"Julian Farino, Alun Armstrong, Asif", Country: UK  Language: English  Release Date: 13 April 2000 (UK)             Production Co:  Granada Television                    Runtime: 90 min  Color: Color 
"Sophia Loren, une destinée particulière (2019) ",Documentary Biography ,6.9,"Julia Bracher, Julia Bracher, Sophia Loren", Country: Japan  Language: French  Release Date: 17 December 2019 (France)             Also Known As: Sophia Loren - Porträt einer Diva                 Production Co:  Les Films d'Ici                    Runtime: 50 min  Color: Color  Aspect Ratio: 16 : 9     
"Marianne Faithfull, fleur d'âme (2017) ",Documentary Biography History ,6.5,"Sandrine Bonnaire, Marianne Faithfull, Sandrine Bonnaire"," Country: France  Language: French , English  Release Date: 2 March 2018 (France)             Also Known As: Faithfull                 Production Co:  ARTE, Cinétévé                    Runtime: 62 min  Color: Color "
Devil's Island: Hell on Earth (2001) ,Documentary Biography ,6.9,"Henri Charrière, Alfred Dreyfus, Richard Dreyfuss", Country: USA  Language: English           Color: Color 
