Title,genres,rating,topcast,details
Biggie: The Life of Notorious B.I.G. (2017) ,Documentary Biography ,7.4,"Mark Ford, Mark Ford, Voletta Wallace"," Official Sites: Official Site    Country: USA  Language: English  Release Date: 4 September 2017 (USA)             Production Co:  Creature Films, Entertainment One, FootageWorks                    Runtime: 121 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 16:9 HD     "
Pablo Escobar: Countdown to Death (2017) ,Documentary Biography ,6.4,-," Official Sites: NETFLIX    Country: USA  Language: English , Spanish  Release Date: 2017 (USA)             Budget:$500,000             (estimated)  Production Co:  Paraiso Pictures                    Runtime: 45 min  Color: Color "
ReMastered: Tricky Dick and the Man in Black (2018) ,Documentary Biography ,7.2,"Sara Dosa, Barbara Kopple, Jeff Zimbalist"," Country: USA  Language: English  Release Date: 2018 (USA)             Also Known As: ReMastered: Nixon e o Homem de Preto                 Production Co:  All Rise Films, Triage Entertainment                    Runtime: 59 min  Color: Color "
Einstein (2008) ,Documentary Biography ,7.8,"Philip Shane, Philip Shane, Clifford V. Johnson"," Country: USA  Language: English  Release Date: 17 November 2008 (USA)             Filming Locations: Berlin, Germany           Production Co:  Left / Right Docs                    Runtime: 90 min  Color: Color  Aspect Ratio: 1.78 : 1     "
Брандо (2007) ,Documentary Biography ,8.3,"Mimi Freedman, Leslie Greif, Mimi Freedman"," Country: USA  Language: English  Release Date: 26 July 2008 (Sweden)             Also Known As: Брандо                 Production Co:  The Greif Company, Thinkfactory Media                    Runtime: 165 min  Sound Mix: Stereo  Color: Color ,  Black and White (archive footage) (some featured excerpts)     Aspect Ratio: 1.33 : 1     "
My Way: The Rise and Fall of Silvio Berlusconi (2016) ,Documentary Biography ,6.3,"Antongiulio Panizzi, Veronique Bernardini, Alan Friedman"," Official Sites: Official web page [Italian]    Country: Italy  Language: Italian  Release Date: 21 November 2016 (Italy)             Also Known As: My Way: Berlusconi in His Own Words                 Filming Locations: Villa San Martino, Arcore, Lombardy, Italy           Production Co:  Leone Film Group                    Runtime: 98 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 16:9 HD     "
The Freddie Mercury Story: Who Wants to Live Forever (2016) ,Documentary Biography Music ,7.5,"John Fothergill, John Fothergill, John Blunt", Official Sites: Official site    Country: UK  Language: English  Release Date: 20 November 2016 (UK)             Production Co:  Channel 5 Productions                    Runtime: 95 min  Color: Color 
Тесла: Повелитель молний (2000) ,Documentary Biography History ,8.0,"Robert Uth, Robert Uth, Phylis Geller"," Country: USA  Language: English  Also Known As: Тесла: Повелитель молний                 Production Co:  New Voyage Communications                    Runtime: 87 min  Color:  Black and White , Color "
The Opera Game (2020) ,Documentary Biography Drama ,7.4,"Wendy Fleetwood, Monty Ross, Simeon Barrett Marsalis"," Official Sites: Offical Site , Official site ,           Country: USA  Language: English  Release Date: 2020 (USA)             Filming Locations: New Orleans, Louisiana, USA  Production Co:  Ken Mask Studios                    Runtime: 78 min  Color: Color  Aspect Ratio: 16:9 HD     "
7 Plus Seven (1970) ,Documentary Biography ,8.0,"Michael Apted, Bruce Balden, Jacqueline Bassett"," Country: UK  Language: English  Release Date: 15 December 1970 (UK)             Also Known As: 14 Up                 Production Co:  Granada Television                    Runtime: 52 min  Color:  Black and White (Sepia) (archive footage), Color  Aspect Ratio: 1.33 : 1     "
Кит Харинг: Вундеркинд стрит-арта (2020) ,Documentary Biography ,7.3,"Ben Anthony, Fab 5 Freddy, Keith Haring", Country: UK  Language: English  Release Date: 4 July 2020 (UK)             Also Known As: Кит Харинг: Вундеркинд стрит-арта                          Runtime: 89 min  Color: Color 
Чудовище из Мангатити (2015) ,Documentary Biography Crime ,6.2,"Riccardo Pellizzeri, Philly de Lacey, John Banas"," Official Sites: Official site , TVNZ Watch OnDemand site    Country: New Zealand  Language: English  Release Date: 6 September 2015 (New Zealand)             Also Known As: Чудовище из Мангатити                          Runtime: 70 min  Color: Color "
Prince: Last Year of a Legend (2018) ,Documentary Biography Music ,6.9,"Adrian Sibley, Zawe Ashton, Eryn Allen Kane"," Official Sites: Channel 4 [United Kingdom]    Country: UK  Language: English  Release Date: 2 January 2018 (UK)             Production Co:  Lincoln Square Productions, Channel 4 Television Corporation, Walt Disney EMEA Productions                    Runtime: 60 min  Sound Mix: Stereo  Color: Color "
28 Up (1984) ,Documentary Biography ,8.2,"Michael Apted, Bruce Balden, Jacqueline Bassett"," Country: UK  Language: English , Latin  Release Date: 20 November 1984 (UK)             Also Known As: 28 лет                 Production Co:  Granada Television                    Runtime: 136 min  Sound Mix: Mono  Color:  Black and White , Color "
Owaranai hito: Miyazaki Hayao (2016) ,Documentary Biography ,6.8,"Kaku Arakawa, Hayao Miyazaki, Toshio Suzuki"," Country: Japan  Language: Japanese  Release Date: 13 November 2016 (Japan)             Also Known As: Never-Ending Man: Hayao Miyazaki                 Opening Weekend USA: $10,238, 16 December 2018  Gross USA: $187,320         Cumulative Worldwide Gross: $187,320         Production Co:  NHK                    Runtime: 70 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 16:9 HD     "
Guns N' Roses: The Story (2007) ,Documentary Biography Music ,8.0,"Randy Martin, Cynthia Fawcett, Steven Adler"," Country: UK  Language: English  Release Date: 2007 (UK)             Production Co:  A+E Networks, Flying Saucer Films, Holden Production Group                    Runtime: 47 min  Sound Mix: Dolby Digital  Color: Color  Aspect Ratio: 1.78 : 1     "
The Boy Who Would Be King (2004) ,Documentary Biography History ,5.9,"Nick Rossiter, Nick Rossiter, Jack Davenport", Official Sites: ABC [Australia]    Country: UK  Language: English  Release Date: 26 May 2004 (Australia)             Production Co:  BBC Northern Ireland                    Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.33 : 1     
